//type	cx	cy	sx	sy	z	dig	time	percent	count	vnum
//----------------------------------------------------------
g	1163	299	5	5	0	0	30s	100	1	6829
g	1099	289	5	5	0	0	30s	100	1	6829
g	1116	298	5	5	0	0	30s	100	1	6829
g	1107	316	5	5	0	0	30s	100	1	6829
g	1097	305	5	5	0	0	30s	100	1	6829
g	1066	298	5	5	0	0	30s	100	1	6829
g	1021	322	5	5	0	0	30s	100	1	6829
g	994	299	5	5	0	0	30s	100	1	6829
g	965	316	5	5	0	0	30s	100	1	6829
g	955	336	5	5	0	0	30s	100	1	6829
g	963	372	5	5	0	0	30s	100	1	6829
g	942	384	5	5	0	0	30s	100	1	6829
g	970	390	5	5	0	0	30s	100	1	6829
g	895	370	5	5	0	0	30s	100	1	6829
g	811	377	5	5	0	0	30s	100	1	6829
g	804	416	5	5	0	0	30s	100	1	6829
g	827	450	5	5	0	0	30s	100	1	6829
g	806	491	5	5	0	0	30s	100	1	6829
g	811	514	5	5	0	0	30s	100	1	6829
g	826	522	5	5	0	0	30s	100	1	6829
g	822	539	5	5	0	0	30s	100	1	6829
g	806	536	5	5	0	0	30s	100	1	6829
g	777	518	5	5	0	0	30s	100	1	6829
g	741	542	5	5	0	0	30s	100	1	6829
g	690	518	5	5	0	0	30s	100	1	6829
g	626	519	5	5	0	0	30s	100	1	6829
g	639	551	5	5	0	0	30s	100	1	6829
g	629	570	5	5	0	0	30s	100	1	6829
g	624	596	5	5	0	0	30s	100	1	6829
g	627	632	5	5	0	0	30s	100	1	6829
g	628	665	5	5	0	0	30s	100	1	6829
g	632	682	5	5	0	0	30s	100	1	6829
g	647	670	5	5	0	0	30s	100	1	6829
g	677	663	5	5	0	0	30s	100	1	6829
g	736	686	5	5	0	0	30s	100	1	6829
g	757	662	5	5	0	0	30s	100	1	6829
g	777	663	5	5	0	0	30s	100	1	6829
g	808	665	5	5	0	0	30s	100	1	6829
g	824	665	5	5	0	0	30s	100	1	6829
g	816	686	5	5	0	0	30s	100	1	6829
g	801	683	5	5	0	0	30s	100	1	6829
g	806	635	5	5	0	0	30s	100	1	6829
g	827	596	5	5	0	0	30s	100	1	6829
g	807	563	5	5	0	0	30s	100	1	6829
g	854	658	5	5	0	0	30s	100	1	6829
g	895	683	5	5	0	0	30s	100	1	6829
g	930	663	5	5	0	0	30s	100	1	6829
g	963	672	5	5	0	0	30s	100	1	6829
g	951	637	5	5	0	0	30s	100	1	6829
g	978	602	5	5	0	0	30s	100	1	6829
g	951	560	5	5	0	0	30s	100	1	6829
g	854	519	5	5	0	0	30s	100	1	6829
g	886	539	5	5	0	0	30s	100	1	6829
g	924	519	5	5	0	0	30s	100	1	6829
g	961	519	5	5	0	0	30s	100	1	6829
g	950	526	5	5	0	0	30s	100	1	6829
g	953	540	5	5	0	0	30s	100	1	6829
g	969	536	5	5	0	0	30s	100	1	6829
g	951	494	5	5	0	0	30s	100	1	6829
g	974	455	5	5	0	0	30s	100	1	6829
g	951	417	5	5	0	0	30s	100	1	6829
g	999	520	5	5	0	0	30s	100	1	6829
g	1029	536	5	5	0	0	30s	100	1	6829
g	1071	520	5	5	0	0	30s	100	1	6829
g	1107	516	5	5	0	0	30s	100	1	6829
g	1124	528	5	5	0	0	30s	100	1	6829
g	1094	540	5	5	0	0	30s	100	1	6829
g	1088	536	5	5	0	0	30s	100	1	6829
g	1097	490	5	5	0	0	30s	100	1	6829
g	1119	456	5	5	0	0	30s	100	1	6829
g	1091	414	5	5	0	0	30s	100	1	6829
g	1118	386	5	5	0	0	30s	100	1	6829
g	1098	348	5	5	0	0	30s	100	1	6829
g	1150	521	5	5	0	0	30s	100	1	6829
g	1184	542	5	5	0	0	30s	100	1	6829
g	1214	518	5	5	0	0	30s	100	1	6829
g	1251	539	5	5	0	0	30s	100	1	6829
g	1286	518	5	5	0	0	30s	100	1	6829
g	1322	516	5	5	0	0	30s	100	1	6829
g	1344	520	5	5	0	0	30s	100	1	6829
g	1326	537	5	5	0	0	30s	100	1	6829
g	1307	528	5	5	0	0	30s	100	1	6829
g	1315	490	5	5	0	0	30s	100	1	6829
g	1340	463	5	5	0	0	30s	100	1	6829
g	1313	436	5	5	0	0	30s	100	1	6829
g	1340	414	5	5	0	0	30s	100	1	6829
g	1313	394	5	5	0	0	30s	100	1	6829
g	1339	369	5	5	0	0	30s	100	1	6829
g	1310	364	5	5	0	0	30s	100	1	6829
g	1398	518	5	5	0	0	30s	100	1	6829
g	1411	528	5	5	0	0	30s	100	1	6829
g	1395	541	5	5	0	0	30s	100	1	6829
g	1375	529	5	5	0	0	30s	100	1	6829
g	1382	521	5	5	0	0	30s	100	1	6829
g	1385	563	5	5	0	0	30s	100	1	6829
g	1417	598	5	5	0	0	30s	100	1	6829
g	1391	633	5	5	0	0	30s	100	1	6829
g	1407	675	5	5	0	0	30s	100	1	6829
g	1360	687	5	5	0	0	30s	100	1	6829
g	1328	666	5	5	0	0	30s	100	1	6829
g	1286	687	5	5	0	0	30s	100	1	6829
g	1250	664	5	5	0	0	30s	100	1	6829
g	1263	668	5	5	0	0	30s	100	1	6829
g	1256	680	5	5	0	0	30s	100	1	6829
g	1240	678	5	5	0	0	30s	100	1	6829
g	1220	663	5	5	0	0	30s	100	1	6829
g	1177	685	5	5	0	0	30s	100	1	6829
g	1140	663	5	5	0	0	30s	100	1	6829
g	1103	663	5	5	0	0	30s	100	1	6829
g	1098	682	5	5	0	0	30s	100	1	6829
g	1115	683	5	5	0	0	30s	100	1	6829
g	1116	662	5	5	0	0	30s	100	1	6829
g	1104	639	5	5	0	0	30s	100	1	6829
g	1122	601	5	5	0	0	30s	100	1	6829
g	1101	567	5	5	0	0	30s	100	1	6829
g	374	773	5	5	0	0	30s	100	1	6829
g	415	772	5	5	0	0	30s	100	1	6829
g	444	788	5	5	0	0	30s	100	1	6829
g	482	775	5	5	0	0	30s	100	1	6829
g	498	779	5	5	0	0	30s	100	1	6829
g	490	796	5	5	0	0	30s	100	1	6829
g	479	795	5	5	0	0	30s	100	1	6829
g	526	775	5	5	0	0	30s	100	1	6829
g	554	796	5	5	0	0	30s	100	1	6829
g	595	773	5	5	0	0	30s	100	1	6829
g	637	773	5	5	0	0	30s	100	1	6829
g	647	792	5	5	0	0	30s	100	1	6829
g	633	801	5	5	0	0	30s	100	1	6829
g	613	782	5	5	0	0	30s	100	1	6829
g	631	739	5	5	0	0	30s	100	1	6829
g	645	706	5	5	0	0	30s	100	1	6829
g	681	776	5	5	0	0	30s	100	1	6829
g	735	794	5	5	0	0	30s	100	1	6829
g	780	771	5	5	0	0	30s	100	1	6829
g	815	771	5	5	0	0	30s	100	1	6829
g	829	778	5	5	0	0	30s	100	1	6829
g	818	793	5	5	0	0	30s	100	1	6829
g	798	790	5	5	0	0	30s	100	1	6829
g	856	777	5	5	0	0	30s	100	1	6829
g	802	733	5	5	0	0	30s	100	1	6829
g	832	709	5	5	0	0	30s	100	1	6829
g	881	771	5	5	0	0	30s	100	1	6829
g	903	785	5	5	0	0	30s	100	1	6829
g	879	817	5	5	0	0	30s	100	1	6829
g	898	849	5	5	0	0	30s	100	1	6829
g	870	891	5	5	0	0	30s	100	1	6829
g	902	914	5	5	0	0	30s	100	1	6829
g	875	938	5	5	0	0	30s	100	1	6829
g	897	960	5	5	0	0	30s	100	1	6829
g	876	995	5	5	0	0	30s	100	1	6829
g	888	1013	5	5	0	0	30s	100	1	6829
g	944	991	5	5	0	0	30s	100	1	6829
g	967	1013	5	5	0	0	30s	100	1	6829
g	997	990	5	5	0	0	30s	100	1	6829
g	1037	1021	5	5	0	0	30s	100	1	6829
g	1070	994	5	5	0	0	30s	100	1	6829
g	1106	1001	5	5	0	0	30s	100	1	6829
g	1094	961	5	5	0	0	30s	100	1	6829
g	1116	916	5	5	0	0	30s	100	1	6829
g	1092	926	5	5	0	0	30s	100	1	6829
g	1097	937	5	5	0	0	30s	100	1	6829
g	1121	936	5	5	0	0	30s	100	1	6829
g	1100	889	5	5	0	0	30s	100	1	6829
g	1125	861	5	5	0	0	30s	100	1	6829
g	1089	840	5	5	0	0	30s	100	1	6829
g	1121	821	5	5	0	0	30s	100	1	6829
g	1096	791	5	5	0	0	30s	100	1	6829
g	1120	761	5	5	0	0	30s	100	1	6829
g	1097	734	5	5	0	0	30s	100	1	6829
g	1116	711	5	5	0	0	30s	100	1	6829
g	1144	921	5	5	0	0	30s	100	1	6829
g	1174	937	5	5	0	0	30s	100	1	6829
g	1213	921	5	5	0	0	30s	100	1	6829
g	1253	915	5	5	0	0	30s	100	1	6829
g	1239	932	5	5	0	0	30s	100	1	6829
g	1251	938	5	5	0	0	30s	100	1	6829
g	1268	922	5	5	0	0	30s	100	1	6829
g	1242	889	5	5	0	0	30s	100	1	6829
g	1263	867	5	5	0	0	30s	100	1	6829
g	1247	838	5	5	0	0	30s	100	1	6829
g	1266	818	5	5	0	0	30s	100	1	6829
g	1242	789	5	5	0	0	30s	100	1	6829
g	1265	764	5	5	0	0	30s	100	1	6829
g	1243	738	5	5	0	0	30s	100	1	6829
g	1262	707	5	5	0	0	30s	100	1	6829
g	1287	920	5	5	0	0	30s	100	1	6829
g	1317	941	5	5	0	0	30s	100	1	6829
g	1358	917	5	5	0	0	30s	100	1	6829
g	1400	916	5	5	0	0	30s	100	1	6829
g	1398	940	5	5	0	0	30s	100	1	6829
g	1379	925	5	5	0	0	30s	100	1	6829
g	1392	889	5	5	0	0	30s	100	1	6829
g	1403	856	5	5	0	0	30s	100	1	6829
g	1386	817	5	5	0	0	30s	100	1	6829
g	1397	782	5	5	0	0	30s	100	1	6829
g	758	873	5	5	0	0	30s	100	1	6829
g	748	891	5	5	0	0	30s	100	1	6829
g	777	914	5	5	0	0	30s	100	1	6829
g	747	940	5	5	0	0	30s	100	1	6829
g	769	963	5	5	0	0	30s	100	1	6829
g	752	997	5	5	0	0	30s	100	1	6829
g	760	1011	5	5	0	0	30s	100	1	6829
g	776	999	5	5	0	0	30s	100	1	6829
g	774	990	5	5	0	0	30s	100	1	6829
g	800	997	5	5	0	0	30s	100	1	6829
g	725	989	5	5	0	0	30s	100	1	6829
g	695	1011	5	5	0	0	30s	100	1	6829
g	752	1035	5	5	0	0	30s	100	1	6829
g	772	1071	5	5	0	0	30s	100	1	6829
g	758	1098	5	5	0	0	30s	100	1	6829
g	745	1116	5	5	0	0	30s	100	1	6829
g	721	1094	5	5	0	0	30s	100	1	6829
g	688	1107	5	5	0	0	30s	100	1	6829
g	676	1135	5	5	0	0	30s	100	1	6829
g	697	1159	5	5	0	0	30s	100	1	6829
g	676	1176	5	5	0	0	30s	100	1	6829
g	691	1199	5	5	0	0	30s	100	1	6829
g	1467	298	5	5	0	0	30s	100	1	6829
g	1471	317	5	5	0	0	30s	100	1	6829
g	1497	306	5	5	0	0	30s	100	1	6829
g	1498	342	5	5	0	0	30s	100	1	6829
g	1514	367	5	5	0	0	30s	100	1	6829
g	1495	392	5	5	0	0	30s	100	1	6829
g	1517	416	5	5	0	0	30s	100	1	6829
g	1493	443	5	5	0	0	30s	100	1	6829
g	1517	465	5	5	0	0	30s	100	1	6829
g	1494	493	5	5	0	0	30s	100	1	6829
g	1496	523	5	5	0	0	30s	100	1	6829
g	1502	541	5	5	0	0	30s	100	1	6829
g	1515	536	5	5	0	0	30s	100	1	6829
g	1512	515	5	5	0	0	30s	100	1	6829
g	1499	563	5	5	0	0	30s	100	1	6829
g	1517	588	5	5	0	0	30s	100	1	6829
g	1496	613	5	5	0	0	30s	100	1	6829
g	1516	631	5	5	0	0	30s	100	1	6829
g	1496	667	5	5	0	0	30s	100	1	6829
g	1515	715	5	5	0	0	30s	100	1	6829
g	1505	775	5	5	0	0	30s	100	1	6829
g	1468	775	5	5	0	0	30s	100	1	6829
g	842	1439	5	5	0	0	30s	100	1	6829
g	869	1457	5	5	0	0	30s	100	1	6829
g	901	1435	5	5	0	0	30s	100	1	6829
g	914	1445	5	5	0	0	30s	100	1	6829
g	901	1455	5	5	0	0	30s	100	1	6829
g	891	1408	5	5	0	0	30s	100	1	6829
g	910	1366	5	5	0	0	30s	100	1	6829
g	933	1365	5	5	0	0	30s	100	1	6829
g	967	1380	5	5	0	0	30s	100	1	6829
g	1006	1364	5	5	0	0	30s	100	1	6829
g	1019	1403	5	5	0	0	30s	100	1	6829
g	1003	1439	5	5	0	0	30s	100	1	6829
g	1007	1456	5	5	0	0	30s	100	1	6829
g	1020	1454	5	5	0	0	30s	100	1	6829
g	1006	1482	5	5	0	0	30s	100	1	6829
g	1008	1505	5	5	0	0	30s	100	1	6829
g	1049	1442	5	5	0	0	30s	100	1	6829
g	1071	1455	5	5	0	0	30s	100	1	6829
g	1095	1436	5	5	0	0	30s	100	1	6829
g	1128	1453	5	5	0	0	30s	100	1	6829
g	1144	1437	5	5	0	0	30s	100	1	6829
g	1168	1455	5	5	0	0	30s	100	1	6829
g	148	298	5	5	0	0	30s	100	1	6830
g	125	321	5	5	0	0	30s	100	1	6830
g	149	351	5	5	0	0	30s	100	1	6830
g	133	382	5	5	0	0	30s	100	1	6830
g	130	423	5	5	0	0	30s	100	1	6830
g	138	455	5	5	0	0	30s	100	1	6830
g	179	454	5	5	0	0	30s	100	1	6830
g	208	447	5	5	0	0	30s	100	1	6830
g	211	416	5	5	0	0	30s	100	1	6830
g	78	373	5	5	0	0	30s	100	1	6830
g	74	418	5	5	0	0	30s	100	1	6830
g	74	446	5	5	0	0	30s	100	1	6830
g	73	473	5	5	0	0	30s	100	1	6830
g	76	517	5	5	0	0	30s	100	1	6830
g	74	561	5	5	0	0	30s	100	1	6830
g	67	600	5	5	0	0	30s	100	1	6830
g	59	631	5	5	0	0	30s	100	1	6830
g	100	609	5	5	0	0	30s	100	1	6830
g	126	589	5	5	0	0	30s	100	1	6830
g	150	613	5	5	0	0	30s	100	1	6830
g	176	590	5	5	0	0	30s	100	1	6830
g	203	611	5	5	0	0	30s	100	1	6830
g	221	590	5	5	0	0	30s	100	1	6830
g	249	613	5	5	0	0	30s	100	1	6830
g	275	560	5	5	0	0	30s	100	1	6830
g	315	517	5	5	0	0	30s	100	1	6830
g	345	539	5	5	0	0	30s	100	1	6830
g	367	517	5	5	0	0	30s	100	1	6830
g	398	539	5	5	0	0	30s	100	1	6830
g	435	513	5	5	0	0	30s	100	1	6830
g	424	485	5	5	0	0	30s	100	1	6830
g	444	457	5	5	0	0	30s	100	1	6830
g	417	439	5	5	0	0	30s	100	1	6830
g	442	418	5	5	0	0	30s	100	1	6830
g	383	391	5	5	0	0	30s	100	1	6830
g	345	392	5	5	0	0	30s	100	1	6830
g	311	392	5	5	0	0	30s	100	1	6830
g	273	393	5	5	0	0	30s	100	1	6830
g	156	442	5	5	0	0	30s	100	1	6830
g	145	413	5	5	0	0	30s	100	1	6830
g	277	232	5	5	0	0	30s	100	1	6830
g	292	259	5	5	0	0	30s	100	1	6830
g	271	287	5	5	0	0	30s	100	1	6830
g	291	308	5	5	0	0	30s	100	1	6830
g	277	329	5	5	0	0	30s	100	1	6830
g	418	332	5	5	0	0	30s	100	1	6830
g	417	274	5	5	0	0	30s	100	1	6830
g	440	234	5	5	0	0	30s	100	1	6830
g	480	208	5	5	0	0	30s	100	1	6830
g	646	71	5	5	0	0	30s	100	1	6830
g	631	124	5	5	0	0	30s	100	1	6830
g	598	134	5	5	0	0	30s	100	1	6830
g	507	173	5	5	0	0	30s	100	1	6830
g	272	262	5	5	0	0	30s	100	1	6830
g	23	735	5	5	0	0	30s	100	1	6830
g	41	747	5	5	0	0	30s	100	1	6830
g	54	801	5	5	0	0	30s	100	1	6830
g	74	830	5	5	0	0	30s	100	1	6830
g	124	735	5	5	0	0	30s	100	1	6830
g	99	758	5	5	0	0	30s	100	1	6830
g	147	755	5	5	0	0	30s	100	1	6830
g	177	736	5	5	0	0	30s	100	1	6830
g	199	756	5	5	0	0	30s	100	1	6830
g	227	734	5	5	0	0	30s	100	1	6830
g	250	757	5	5	0	0	30s	100	1	6830
g	271	704	5	5	0	0	30s	100	1	6830
g	295	680	5	5	0	0	30s	100	1	6830
g	271	657	5	5	0	0	30s	100	1	6830
g	294	632	5	5	0	0	30s	100	1	6830
g	278	537	5	5	0	0	30s	100	1	6830
g	508	514	5	5	0	0	30s	100	1	6830
g	532	485	5	5	0	0	30s	100	1	6830
g	508	461	5	5	0	0	30s	100	1	6830
g	534	431	5	5	0	0	30s	100	1	6830
g	530	398	5	5	0	0	30s	100	1	6830
g	1235	136	5	5	0	0	30s	100	1	6830
g	1263	117	5	5	0	0	30s	100	1	6830
g	1288	136	5	5	0	0	30s	100	1	6830
g	1316	75	5	5	0	0	30s	100	1	6830
g	1323	129	5	5	0	0	30s	100	1	6830
g	1363	132	5	5	0	0	30s	100	1	6830
g	1390	117	5	5	0	0	30s	100	1	6830
g	1420	122	5	5	0	0	30s	100	1	6830
g	1442	150	5	5	0	0	30s	100	1	6830
g	1428	182	5	5	0	0	30s	100	1	6830
g	1444	224	5	5	0	0	30s	100	1	6830
g	1418	245	5	5	0	0	30s	100	1	6830
g	1445	272	5	5	0	0	30s	100	1	6830
g	1426	343	5	5	0	0	30s	100	1	6830
g	1448	364	5	5	0	0	30s	100	1	6830
g	1458	310	5	5	0	0	30s	100	1	6830
g	1429	307	5	5	0	0	30s	100	1	6830
g	1390	322	5	5	0	0	30s	100	1	6830
g	1364	297	5	5	0	0	30s	100	1	6830
g	1287	319	5	5	0	0	30s	100	1	6830
g	1262	297	5	5	0	0	30s	100	1	6830
g	1240	319	5	5	0	0	30s	100	1	6830
g	1211	300	5	5	0	0	30s	100	1	6830
g	1182	294	5	5	0	0	30s	100	1	6830
g	1166	322	5	5	0	0	30s	100	1	6830
g	1117	304	5	5	0	0	30s	100	1	6830
g	1066	318	5	5	0	0	30s	100	1	6830
g	1032	303	5	5	0	0	30s	100	1	6830
g	964	304	5	5	0	0	30s	100	1	6830
g	973	340	5	5	0	0	30s	100	1	6830
g	925	389	5	5	0	0	30s	100	1	6830
g	887	397	5	5	0	0	30s	100	1	6830
g	856	378	5	5	0	0	30s	100	1	6830
g	919	373	5	5	0	0	30s	100	1	6830
g	827	394	5	5	0	0	30s	100	1	6830
g	825	421	5	5	0	0	30s	100	1	6830
g	806	449	5	5	0	0	30s	100	1	6830
g	828	490	5	5	0	0	30s	100	1	6830
g	777	536	5	5	0	0	30s	100	1	6830
g	745	516	5	5	0	0	30s	100	1	6830
g	713	539	5	5	0	0	30s	100	1	6830
g	679	535	5	5	0	0	30s	100	1	6830
g	656	520	5	5	0	0	30s	100	1	6830
g	645	567	5	5	0	0	30s	100	1	6830
g	642	601	5	5	0	0	30s	100	1	6830
g	641	637	5	5	0	0	30s	100	1	6830
g	626	673	5	5	0	0	30s	100	1	6830
g	644	662	5	5	0	0	30s	100	1	6830
g	676	679	5	5	0	0	30s	100	1	6830
g	727	661	5	5	0	0	30s	100	1	6830
g	764	684	5	5	0	0	30s	100	1	6830
g	786	682	5	5	0	0	30s	100	1	6830
g	828	630	5	5	0	0	30s	100	1	6830
g	803	596	5	5	0	0	30s	100	1	6830
g	826	568	5	5	0	0	30s	100	1	6830
g	855	679	5	5	0	0	30s	100	1	6830
g	893	658	5	5	0	0	30s	100	1	6830
g	930	683	5	5	0	0	30s	100	1	6830
g	971	658	5	5	0	0	30s	100	1	6830
g	973	634	5	5	0	0	30s	100	1	6830
g	951	600	5	5	0	0	30s	100	1	6830
g	976	566	5	5	0	0	30s	100	1	6830
